Type,DS_X,DS_Y,SBAC_X,SBAC_Y,DS_order,DS_length,DS_distance,DS_soma,DS_end,DS_theta,DS_rho,SBAC_order,SBAC_length,SBAC_distance,SBAC_soma,SBAC_end,SBAC_theta,SBAC_rho,DS_StartX,DS_StartY,SBAC_StartX,SBAC_StartY
1,1804.5,1796.5,1807,1802,6,0.6,302.85208346063,302.44791653937,49.9707790951938,-1.68044171035205,1449.05454977056,5,2,148.917595269781,149.582404730219,34.2115594213493,2.29538401128363,963.547807471945,401.1,-231.7,401.75,-231.54
1,1815,1630,1820,1622,7,0.6,334.376385812806,334.023614187194,18.8885879437101,-1.66268217673886,1613.66020862763,4,2,120.334914460005,119.965085539995,44.9396724871098,2.42820050249208,827.439343319634,402.76,-201.37,404.23,-200.45
1,1831,1640,1824,1640,7,1.3,335.423837064974,335.976162935026,26.8475980143066,-1.65331120148789,1602.30464110869,4,1.9,123.625600579842,124.974399420158,41.33572219292,2.40879566564363,836.351460782232,405.24,-202.33,404.86,-203.56
1,1888,1485,1885,1480,8,1.1,370.520496429449,370.379503570551,16.0390234028834,-1.61361846911916,1753.46037190983,3,4,90.1843769661822,87.7156230338178,71.3113142467631,2.52252144308062,688.424668001229,416.54,-175.59,415.43,-174.33
1,1862.5,1707.5,1866.5,1712,8,1.5,352.445116668659,351.954883331341,10.0557329701355,-1.63645770278065,1532.65569745943,4,2.8,129.45169757059,129.34830242941,54.7422584312775,2.31301038111116,856.85316855416,411.58,-214.88,412.32,-215.37
1,1863,1730,1859,1725,8,1.3,357.42522830406,356.37477169594,5.62087942257403,-1.63710491205338,1510.171692657,4,3.1,132.661943535019,132.038056464981,52.3701735114109,2.3092701110461,871.509334011141,411.72,-219.71,411.07,-217.86
1,1878,1426,1881.5,1421.5,8,1.2,382.423943422823,380.776056577178,4.93622984702546,-1.61773636114321,1812.84974578482,3,3.1,76.4651093336111,76.3348906663889,82.4744406430456,2.59794819567531,659.203087975144,414.06,-165.24,414.8,-163.14
1,1882,1471,1887,1475.5,8,1.3,374.005873370691,373.89412662931,13.249670825173,-1.61667053829966,1767.71262528353,3,4,90.7296567091585,87.1703432908415,72.1543336728417,2.52618172842686,684.189160295831,415.17,-172.55,415.43,-174.33
1,1885,1415,1881,1419,8,1.2,384.617140191907,383.382859808093,2.56013504731656,-1.6136188068656,1823.52462812964,3,3.1,76.8762473991461,75.9237526008539,82.7803487436815,2.60159099352042,658.342224550516,415.03,-163.04,414.8,-163.14
1,1963,1960,1969.5,1955,3,2.5,267.534493183787,265.365506816213,147.570944147845,-1.570846437064,1276.85292757827,5,2.6,181.33356792932,181.76643207068,4.64382157554244,2.06941749862609,995.713710185028,429.43,-260.25,430.97,-258.89
1,1965,1946,1962,1951,3,2.5,269.919301079472,270.480698920528,144.96941209051,-1.56929653153112,1290.85437778966,5,2.8,178.375374920627,179.324625079373,7.45294462483846,2.07795292997009,995.823626393128,429.98,-257.77,428.48,-257.65
1,2010,1636.5,2013,1632,4,1.6,325.270683385947,323.829316614053,87.0604672264539,-1.54147619047426,1601.04106047515,3,2,100.457189441654,102.042810558346,81.4458070878383,2.23604856544276,700.947670242604,437.57,-203.37,439.67,-202.31
1,2059,1776,2066,1774,4,1.1,304.585633956802,302.914366043198,96.2051056351361,-1.50521925476234,1463.99965526049,3,2.2,129.728344821534,130.771655178466,53.1508027261451,2.07170245148124,790.606080066894,446.21,-227.75,447.76,-229.05
1,2014,1613,2010,1612.5,4,1.8,329.413907787432,328.186092212568,82.9518802185643,-1.53943922538167,1624.65159433667,3,2.2,96.9249515910283,97.0750484089717,88.5491626079747,2.25698760585368,687.608334497786,438.13,-199.33,436.57,-199.2
1,2019,1588,2020.5,1594,4,1.5,334.807379886863,334.792620113137,77.9583160871492,-1.53688513164414,1649.80144546094,2,5,95.197655515879,91.602344484121,95.0576859943052,2.26238479039974,666.65249652182,439.38,-194.18,439.05,-194.85
1,2043,1531,2049.5,1531,4,2.6,347.824686645031,346.37531335497,66.4701849664587,-1.5239707281454,1707.7247939293,2,6.1,83.8013004830555,79.5986995169445,109.326258611615,2.2921312116602,599.898066601259,443.01,-183.32,444.65,-184.9
1,2057,1525,2051,1526,4,0.7,348.725168199339,348.774831800662,62.1916642371205,-1.51597742256317,1714.42830569731,2,3.2,77.0067464641097,77.0932535358903,107.394408571792,2.29578664450627,595.156837123795,445.51,-182.48,445.27,-181.79
