Tree,Order,Start X,Start Y,Start Z,End X,End Y,End Z,Point Type,Length(µm),Length To Beginning (µm),Start Diameter(µm),End Diameter(µm),Avg Diameter(µm),Surface Area(µm²),Volume(µm³),Spines,none Spine,thin Spine,stubby Spine,mushroom Spine,filopodia Spine,branched Spine,detached Spine,other Spine
1,6,378.25,-305.99,0,378.52,-304.38,0,CP,1.6,255.6,1.9,1.9,1.9,9.69175,4.56338,0,0,0,0,0,0,0,0,0
1,6,378.52,-304.38,0,378.79,-302.49,0,CP,1.9,257.5,1.9,1.9,1.9,11.2663,5.30474,0,0,0,0,0,0,0,0,0
1,6,378.79,-302.49,0,379.06,-300.61,0,CP,1.9,259.4,1.9,1.9,1.9,11.2661,5.30466,0,0,0,0,0,0,0,0,0
1,6,379.06,-300.61,0,379.06,-298.45,0,CP,2.2,261.5,1.9,1.9,1.9,12.7464,6.00166,0,0,0,0,0,0,0,0,0
1,6,379.06,-298.45,0,379.06,-294.68,0,CP,3.8,265.3,1.9,1.9,1.9,22.3061,10.5029,0,0,0,0,0,0,0,0,0
1,6,379.06,-294.68,0,379.06,-292.53,0,CP,2.2,267.5,1.9,1.9,1.9,12.7464,6.00166,0,0,0,0,0,0,0,0,0
1,6,379.06,-292.53,0,379.06,-290.38,0,CP,2.2,269.6,1.9,1.9,1.9,12.7462,6.00157,0,0,0,0,0,0,0,0,0
1,6,379.06,-290.38,0,379.33,-287.68,0,CP,2.7,272.3,1.9,1.9,1.9,16.0123,7.53944,0,0,0,0,0,0,0,0,0
1,6,379.33,-287.68,0,379.87,-285.53,0,CP,2.2,274.6,1.9,1.9,1.9,13.1387,6.18638,0,0,0,0,0,0,0,0,0
1,6,379.87,-285.53,0,380.95,-282.84,0,CP,2.9,277.5,1.9,1.9,1.9,17.1602,8.07991,0,0,0,0,0,0,0,0,0
1,6,380.95,-282.84,0,381.76,-281.22,0,CP,1.8,279.3,1.9,1.9,1.9,10.6882,5.03253,0,0,0,0,0,0,0,0,0
1,6,381.76,-281.22,0,382.02,-279.33,0,CP,1.9,281.2,1.9,1.9,1.9,11.2663,5.30475,0,0,0,0,0,0,0,0,0
1,6,382.02,-279.33,0,382.83,-275.3,0,CP,4.1,285.3,1.9,1.9,1.9,24.3725,11.4758,0,0,0,0,0,0,0,0,0
1,6,382.83,-275.3,0,383.37,-273.41,0,CP,2,287.2,1.9,1.9,1.9,11.5994,5.46158,0,0,0,0,0,0,0,0,0
1,6,383.37,-273.41,0,383.64,-271.26,0,CP,2.2,289.4,1.9,1.9,1.9,12.8456,6.04837,0,0,0,0,0,0,0,0,0
1,6,383.64,-271.26,0,383.64,-269.1,0,CP,2.2,291.6,1.9,1.9,1.9,12.7464,6.00166,0,0,0,0,0,0,0,0,0
1,6,383.64,-269.1,0,383.64,-266.95,0,CP,2.2,293.7,1.9,1.9,1.9,12.7462,6.00157,0,0,0,0,0,0,0,0,0
1,6,383.64,-266.95,0,383.64,-265.06,0,CP,1.9,295.6,1.9,1.9,1.9,11.153,5.25143,0,0,0,0,0,0,0,0,0
1,6,383.64,-265.06,0,382.02,-260.22,0,CP,5.1,300.7,1.9,1.9,1.9,30.2306,14.2341,0,0,0,0,0,0,0,0,0
1,6,382.02,-260.22,0,382.02,-256.98,0,CP,3.2,303.9,1.9,1.9,1.9,19.1194,9.0024,0,0,0,0,0,0,0,0,0
1,6,382.02,-256.98,0,380.41,-254.02,0,CP,3.4,307.3,1.9,1.9,1.9,19.9638,9.39999,0,0,0,0,0,0,0,0,0
1,6,380.41,-254.02,0,379.06,-251.87,0,BP,2.5,309.9,1.9,1.9,1.9,15.0311,7.07742,0,0,0,0,0,0,0,0,0
1,7,379.06,-251.87,0,376.91,-253.48,0,CP,2.7,312.6,1.9,1.6,1.7,14.8124,6.48057,0,0,0,0,0,0,0,0,0
1,7,376.91,-253.48,0,373.14,-256.18,0,CP,4.6,317.2,1.6,1.6,1.6,23.4927,9.48005,0,0,0,0,0,0,0,0,0
1,7,373.14,-256.18,0,371.52,-256.72,0,CP,1.7,318.9,1.6,1.6,1.6,8.63607,3.48493,0,0,0,0,0,0,0,0,0
1,7,371.52,-256.72,0,369.37,-256.98,0,CP,2.2,321.1,1.6,1.6,1.6,11.009,4.44249,0,0,0,0,0,0,0,0,0
1,7,369.37,-256.98,0,366.68,-258.06,0,CP,2.9,324,1.6,1.6,1.6,14.7069,5.93472,0,0,0,0,0,0,0,0,0
1,7,366.68,-258.06,0,364.79,-258.33,0,CP,1.9,325.9,1.6,1.6,1.6,9.65532,3.89623,0,0,0,0,0,0,0,0,0
1,7,364.79,-258.33,0,362.37,-258.87,0,CP,2.5,328.4,1.6,1.6,1.6,12.5892,5.08014,0,0,0,0,0,0,0,0,0
1,7,362.37,-258.87,0,361.56,-258.87,0,EP,0.8,329.2,1.6,1.6,1.6,4.09661,1.65311,0,0,0,0,0,0,0,0,0
1,7,379.06,-251.87,0,378.52,-251.06,0,CP,1,310.8,1.9,1.9,1.9,5.74463,2.70487,0,0,0,0,0,0,0,0,0
1,7,378.52,-251.06,0,377.99,-249.71,0,CP,1.5,312.3,1.9,1.9,1.9,8.58017,4.03998,0,0,0,0,0,0,0,0,0
1,7,377.99,-249.71,0,376.1,-247.02,0,CP,3.3,315.6,1.9,1.9,1.9,19.4486,9.1574,0,0,0,0,0,0,0,0,0
1,7,376.1,-247.02,0,375.29,-245.41,0,CP,1.8,317.4,1.9,1.9,1.9,10.6882,5.03253,0,0,0,0,0,0,0,0,0
1,7,375.29,-245.41,0,374.48,-242.98,0,CP,2.6,319.9,1.9,1.9,1.9,15.1152,7.11702,0,0,0,0,0,0,0,0,0
1,7,374.48,-242.98,0,373.41,-241.37,0,CP,1.9,321.9,1.9,1.9,1.9,11.4894,5.40982,0,0,0,0,0,0,0,0,0
